,Date,Open,High,Low,Close,MACD,Signal,BuyOrSell
0,2017-09-02,388.58,394.32,320.08,343.14,0.0,0.0,0
1,2017-09-03,343.56,367.28,320.08,341.77,-0.1092877492877733,-0.0364292497625911,0
2,2017-09-04,339.29,344.55,267.94,283.77,-4.820447236629548,-1.6311019120515764,0
3,2017-09-05,286.81,321.52,235.55,312.09,-6.197447436266316,-3.153217086789823,0
4,2017-09-06,313.29,336.34,312.09,335.0,-5.378089217334775,-3.8948411303048074,0
5,2017-09-07,335.01,342.5,320.17,334.49,-4.715536889484326,-4.168406383364648,0
6,2017-09-08,334.49,335.1,272.0,302.99,-6.6555253860176435,-4.997446050915647,0
7,2017-09-09,300.01,307.0,281.66,296.74,-8.598188448703013,-6.197693516844769,0
8,2017-09-10,296.72,302.78,261.03,293.5,-10.280694398685057,-7.5586938107915325,0
9,2017-09-11,293.51,304.98,285.21,297.3,-11.178604252389675,-8.765330624657581,0
10,2017-09-12,297.78,316.46,286.01,293.96,-12.021142123498464,-9.850601124271208,0
11,2017-09-13,293.93,294.5,257.05,276.91,-13.90437102965501,-11.201857759399143,0
12,2017-09-14,275.76,283.77,215.0,215.21,-20.143318223599294,-14.182344580799194,0
13,2017-09-15,217.0,270.93,192.0,253.0,-21.787241885822255,-16.717310349140213,0
14,2017-09-16,255.99,271.81,235.51,249.31,-23.121287582597233,-18.851969426959222,0
15,2017-09-17,249.32,264.39,239.02,257.55,-23.24566768596685,-20.3165355132951,0
16,2017-09-18,257.53,306.22,257.11,294.57,-20.12504619788359,-20.252705741491265,1
17,2017-09-19,296.0,300.0,277.41,284.0,-18.293960459950767,-19.599790647644433,1
18,2017-09-20,284.01,294.0,275.91,282.0,-16.810415104476874,-18.669998799921913,1
19,2017-09-21,285.1,287.0,252.1,257.0,-17.450823556974797,-18.263607052272874,1
20,2017-09-22,258.0,272.97,253.01,264.0,-17.195293728510478,-17.907502611018742,1
21,2017-09-23,259.99,286.23,255.11,285.93,-15.049732823263412,-16.954912681766967,1
22,2017-09-24,286.5,294.61,275.0,282.0,-13.5107351587734,-15.806853507435779,1
23,2017-09-25,282.0,299.0,281.34,294.42,-11.160230035212521,-14.257979016694694,1
24,2017-09-26,294.42,296.81,286.24,287.9,-9.711598043417439,-12.742518692268943,1
25,2017-09-27,289.91,313.0,286.13,309.74,-6.723734254479211,-10.7362572130057,1
26,2017-09-28,309.81,311.81,296.89,302.44,-4.888527761670332,-8.787014062560578,1
27,2017-09-29,302.44,303.0,274.0,292.22,-4.210248854065981,-7.2614256597290465,1
28,2017-09-30,292.62,307.49,292.22,304.36,-2.6624206631614697,-5.728423994206522,1
29,2017-10-01,305.13,306.0,294.0,303.95,-1.4521003350948831,-4.3029827745026425,1
30,2017-10-02,303.94,305.0,295.0,296.5,-1.0815975101413642,-3.229187686382217,1
31,2017-10-03,298.15,301.99,283.18,292.48,-1.0996753822132064,-2.5193502516592137,1
32,2017-10-04,292.47,297.97,288.0,291.99,-1.1403953630988894,-2.059698622139106,1
33,2017-10-05,290.0,297.44,285.53,294.81,-0.93434525851535,-1.6845808342645208,1
34,2017-10-06,294.78,310.8,293.78,310.8,0.5132933733778486,-0.9519560983837312,0
35,2017-10-07,309.9,318.5,303.6,311.01,1.6583858243098462,-0.08184212415253878,0
36,2017-10-08,311.08,317.07,309.0,311.07,2.541425370489492,0.7925803740614714,1
37,2017-10-09,311.13,312.13,286.65,297.19,2.097066891052009,1.2274092130583174,1
38,2017-10-10,297.35,308.56,293.0,298.64,1.8406941007115165,1.431837508942717,1
39,2017-10-11,300.88,305.5,298.02,304.01,2.0472317253654637,1.6369689144169661,1
40,2017-10-12,304.01,310.0,302.71,303.99,2.184123234990409,1.8193536879414471,1
41,2017-10-13,303.52,353.96,297.0,337.96,4.9763416743263065,2.8716830167364003,1
42,2017-10-14,337.96,349.8,335.0,342.0,7.429545959568657,4.390970664347153,1
43,2017-10-15,342.0,348.0,316.17,337.96,8.944625716273436,5.908855681655914,1
44,2017-10-16,337.5,354.0,332.78,335.19,9.808752298121647,7.208821220477825,1
45,2017-10-17,335.18,336.58,312.65,315.19,8.778552300445767,7.732064913800473,1
46,2017-10-18,315.19,318.0,284.68,309.7,7.433426350124819,7.6325187259085885,1
47,2017-10-19,311.52,315.0,300.0,308.66,6.211878367963095,7.158971939926758,1
48,2017-10-20,308.66,311.18,302.0,304.51,4.852980337859606,6.390308072571042,1
49,2017-10-21,304.51,305.34,290.0,298.94,3.2886815354952432,5.3564325602124425,1
50,2017-10-22,298.99,306.99,290.0,293.79,1.614787242640034,4.109217454354973,1
51,2017-10-23,293.78,294.6,272.2,281.09,-0.7281759468351083,2.496752987291613,0
52,2017-10-24,282.27,310.0,275.5,297.38,-1.2560453864883812,1.2458201960316153,0
53,2017-10-25,295.43,300.0,281.0,294.49,-1.885845712296657,0.20193155992219136,0
54,2017-10-26,294.1,299.76,291.03,294.71,-2.3402380392142845,-0.6454583064566339,0
55,2017-10-27,294.72,298.1,292.03,296.33,-2.540343274956399,-1.277086629289889,0
56,2017-10-28,296.14,297.0,290.1,291.87,-3.023954576179335,-1.8593759449197045,0
57,2017-10-29,291.86,309.4,291.86,305.0,-2.320983891084154,-2.0132452603078543,0
58,2017-10-30,305.0,316.0,302.1,307.25,-1.5642862444587422,-1.8635922550248172,1
59,2017-10-31,305.95,309.99,304.01,304.9,-1.1410697265105796,-1.6227514121867381,1
60,2017-11-01,304.89,305.9,286.34,287.01,-2.223608697046757,-1.8230371738067443,0
61,2017-11-02,287.3,293.0,274.73,283.12,-3.356724885392282,-2.3342664110019236,0
62,2017-11-03,283.12,307.0,282.0,304.08,-2.53421791175532,-2.4009169112530557,0
63,2017-11-04,304.09,304.99,292.11,298.04,-2.3427470017918495,-2.3815269414326536,1
64,2017-11-05,298.1,302.14,293.13,295.53,-2.366264129292915,-2.376439337386074,1
65,2017-11-06,295.19,305.58,290.11,297.97,-2.163079381559726,-2.305319352110625,1
66,2017-11-07,297.25,303.52,287.0,291.78,-2.4730277486455634,-2.3612221509556046,0
67,2017-11-08,291.31,320.0,290.02,303.02,-1.7910439593406977,-2.171162753750636,1
68,2017-11-09,303.6,329.0,299.5,317.87,-0.051700033710517346,-1.46467518040393,1
69,2017-11-10,318.5,322.65,285.82,293.5,-0.6324225987158911,-1.1872576531745838,1
70,2017-11-11,293.52,318.0,291.91,310.02,0.2376371876613348,-0.7122927062292777,0
71,2017-11-12,310.87,316.99,281.01,305.24,0.5352893030546966,-0.296432036467953,0
72,2017-11-13,304.0,318.88,303.7,312.99,1.3806259826016003,0.26258730322189805,1
73,2017-11-14,313.0,337.54,312.94,335.61,3.8316376149235225,1.4522707404557729,1
74,2017-11-15,335.6,339.0,324.0,331.33,5.3668559865155885,2.757132489142378,1
75,2017-11-16,330.98,334.75,321.41,331.49,6.5212651837856015,4.011843387356786,1
76,2017-11-17,331.49,334.6,323.84,331.23,7.330659680976794,5.118115485230122,1
77,2017-11-18,331.2,349.9,326.01,346.66,9.112143578423172,6.4494581829611395,1
78,2017-11-19,346.66,373.56,343.07,354.15,11.001543856155479,7.96682007402592,1
79,2017-11-20,355.15,372.5,353.9,367.42,13.415044998468204,9.782895048840015,1
80,2017-11-21,367.42,375.5,350.02,362.12,14.730294668388808,11.432028255356279,1
81,2017-11-22,362.12,384.84,359.0,380.65,17.07107096626521,13.31170915899259,1
82,2017-11-23,380.63,425.0,370.02,405.0,20.652920533361907,15.758779617115696,1
83,2017-11-24,405.03,475.0,392.8,469.0,28.329265116889417,19.948941450373603,1
84,2017-11-25,467.57,484.47,450.0,461.82,33.44789104282245,24.44859131452322,1
85,2017-11-26,461.0,465.0,436.14,462.84,37.15840547433328,28.685196034459906,1
86,2017-11-27,462.84,486.94,453.0,472.31,40.39748765885787,32.58929324259256,1
87,2017-11-28,472.32,477.5,453.5,466.17,41.98505931158962,35.72121526559158,1
88,2017-11-29,466.17,515.0,385.0,421.7,39.2029566541961,36.88179572845976,1
89,2017-11-30,421.92,460.0,387.01,427.43,37.03358327129007,36.93239157606986,1
90,2017-12-01,428.05,465.97,413.74,457.51,37.311440783015655,37.058741311718464,1
91,2017-12-02,457.53,471.91,445.0,457.63,37.113506459917346,37.07699636111809,1
92,2017-12-03,457.31,485.9,440.11,460.3,36.748475221479396,36.967489314571864,1
93,2017-12-04,460.3,470.98,445.0,466.67,36.551844191689156,36.82894094027763,1
94,2017-12-05,466.66,468.67,445.21,452.26,34.831727639099256,36.16320317321818,1
95,2017-12-06,452.26,455.1,400.0,411.01,29.796516919673024,34.04097442203646,1
96,2017-12-07,413.5,427.61,375.01,406.33,25.138656476593496,31.07353510688881,1
97,2017-12-08,406.52,456.78,390.0,442.56,24.092997651085682,28.74668928828777,1
98,2017-12-09,442.56,488.0,426.4,460.0,24.390410278951833,27.294596285175793,1
99,2017-12-10,460.0,460.05,403.2,427.35,21.740914072534054,25.443368880961884,1
100,2017-12-11,427.35,512.0,427.35,508.7,25.906796941323194,25.597844901082322,1
101,2017-12-12,508.44,639.27,494.89,620.0,37.75406361127108,29.649917804478576,1
102,2017-12-13,622.0,705.69,539.93,683.99,51.71047979301062,37.003438467322596,1
103,2017-12-14,683.98,747.6,630.5,679.76,61.71826478106283,45.24171390523601,1
104,2017-12-15,679.76,689.0,594.6,674.95,68.47207621294348,52.98516800780517,1
105,2017-12-16,673.75,712.0,669.22,682.81,73.61022390216118,59.86018663925718,1
106,2017-12-17,681.8,728.0,680.33,707.64,78.77771597887408,66.16602975246282,1
107,2017-12-18,707.62,798.88,638.0,784.0,88.01996514463065,73.45067488318543,1
108,2017-12-19,784.0,864.9,729.01,798.0,95.37477614179454,80.75870863605513,1
109,2017-12-20,798.0,828.0,661.0,790.21,99.42877591288538,86.98206439499856,1
110,2017-12-21,794.62,845.99,705.98,782.41,100.84967287413463,91.60460055471059,1
111,2017-12-22,784.0,796.0,504.99,635.97,89.13180385090652,90.7803349867759,1
112,2017-12-23,635.15,714.99,627.97,640.34,79.28399417343837,86.94822138233006,1
113,2017-12-24,640.33,667.64,563.49,658.0,72.07372739851678,81.99005672105898,1
114,2017-12-25,659.4,744.0,599.99,714.95,70.14632491219902,78.04214611810566,1
115,2017-12-26,713.12,750.0,712.56,750.0,70.63287481708176,75.57238901776437,1
116,2017-12-27,750.0,766.05,693.18,739.89,69.4026461121656,73.51580804923145,1
117,2017-12-28,739.89,744.93,645.88,707.89,65.0951718150128,70.7089293044919,1
118,2017-12-29,709.5,757.87,703.0,733.99,63.060595977471394,68.15948486215174,1
119,2017-12-30,732.9,735.0,635.82,681.06,56.525579626377976,64.28151645022716,1
120,2017-12-31,680.01,740.0,672.86,733.98,54.982924882628026,61.18198592769412,1
121,2018-01-01,733.01,763.55,716.8,754.99,54.82371760609885,59.06256315382903,1
122,2018-01-02,754.99,899.5,749.06,855.28,62.074552730116125,60.06655967925806,1
123,2018-01-03,855.13,950.01,810.0,934.03,73.33005543149602,64.48772493000405,1
124,2018-01-04,934.03,1009.72,890.01,940.0,81.78903839774523,70.25482941925111,1
125,2018-01-05,940.0,1045.0,930.0,959.3,89.02397903058727,76.51121262302983,1
126,2018-01-06,958.0,1017.56,950.0,1004.11,97.25244842634004,83.4249578907999,1
127,2018-01-07,1003.71,1125.0,999.9,1123.09,112.0822469737094,92.97738758510307,1
128,2018-01-08,1123.09,1239.18,910.0,1133.18,123.22864473049492,103.06113996690036,1
129,2018-01-09,1133.18,1326.5,1104.85,1291.0,143.14689203589114,116.42305732323062,1
130,2018-01-10,1291.0,1440.0,1201.1,1247.0,153.61108132603476,128.81906532416534,1
131,2018-01-11,1249.03,1332.49,1021.0,1138.93,151.43799793425524,136.35870952752865,1
132,2018-01-12,1136.45,1288.5,1069.01,1253.87,157.17865342007713,143.29869082504482,1
133,2018-01-13,1253.87,1427.01,1252.0,1388.02,170.58653275033566,152.3946381334751,1
134,2018-01-14,1388.1,1391.89,1220.89,1347.0,175.87502472987921,160.22143366560982,1
135,2018-01-15,1347.99,1383.13,1258.12,1271.0,171.95147827818403,164.1314485364679,1
136,2018-01-16,1268.67,1275.01,780.0,1000.0,145.2996800236856,157.85419236554048,1
137,2018-01-17,999.99,1075.51,755.0,1000.0,122.7628046958173,146.15706314229942,1
138,2018-01-18,1000.0,1075.2,924.21,994.0,103.22806984126737,131.84739870862208,1
139,2018-01-19,993.3,1079.0,941.0,1032.5,89.8179149570326,117.8375707914256,1
140,2018-01-20,1032.5,1165.4,1031.0,1152.75,87.88040996275151,107.85185051520091,1
141,2018-01-21,1150.37,1152.69,998.0,1049.0,77.08458228959398,97.59609443999861,1
142,2018-01-22,1049.0,1090.15,908.0,993.0,63.28061949963194,86.15760279320972,1
143,2018-01-23,993.0,1030.0,909.0,980.0,50.707365239694354,74.34085694203793,1
144,2018-01-24,981.2,1074.0,953.09,1061.0,46.74020175695466,65.14063854701018,1
145,2018-01-25,1060.34,1115.0,1030.26,1056.52,42.74199444988551,57.67442384796863,1
146,2018-01-26,1055.29,1082.0,986.0,1051.03,38.68445887369319,51.34443552321015,1
147,2018-01-27,1051.03,1127.99,1032.2,1118.99,40.48594001629249,47.72493702090427,1
148,2018-01-28,1118.99,1277.0,1112.0,1251.96,52.04327207939673,49.16438204040176,1
149,2018-01-29,1251.96,1258.89,1161.65,1177.01,54.52615877180733,50.95164095087029,1
150,2018-01-30,1177.01,1186.85,1051.0,1085.5,48.55011662173774,50.15113284115945,1
151,2018-01-31,1084.63,1135.0,1029.0,1124.81,46.45059508966938,48.91762025732943,1
152,2018-02-01,1125.96,1164.99,981.0,1041.94,37.66560705070219,45.166949188453685,1
153,2018-02-02,1041.89,1047.2,783.67,922.3,20.809612352927843,37.047836909945076,1
154,2018-02-03,923.67,998.0,851.0,971.0,11.251102406205291,28.448925408698482,1
155,2018-02-04,971.0,975.0,789.0,823.56,-8.127571795998506,16.25675967379949,0
156,2018-02-05,821.6,862.47,634.94,697.92,-33.24023595104711,-0.24223886781604342,0
157,2018-02-06,697.93,798.0,570.1,779.25,-46.04873081952053,-15.511069518384206,0
158,2018-02-07,779.99,849.0,714.18,754.0,-57.57334952479721,-29.531829520521875,0
159,2018-02-08,753.19,786.93,751.0,781.66,-63.74000692038669,-40.93455532047682,0
160,2018-02-09,781.66,882.2,781.66,877.0,-60.23958172410619,-47.36956412168661,0
161,2018-02-10,876.3,911.2,800.0,851.15,-58.872700653241395,-51.203942965538204,0
162,2018-02-11,851.15,857.0,768.28,808.99,-60.4940593509599,-54.300648427345436,0
163,2018-02-12,808.58,877.56,807.46,866.66,-56.47450779673977,-55.02526821714355,0
164,2018-02-13,866.39,871.0,820.0,841.57,-54.68318384062172,-54.91124009163627,1
165,2018-02-14,841.57,924.99,841.3,919.09,-46.472623090493585,-52.09836775792205,1
166,2018-02-15,919.09,946.66,895.59,924.55,-39.07468947611392,-47.757141663986005,1
167,2018-02-16,924.55,948.48,901.36,938.67,-31.706910268538877,-42.407064532170295,1
168,2018-02-17,938.6,974.0,933.48,969.99,-23.074639832193384,-35.96292296551133,1
169,2018-02-18,969.99,978.5,897.0,911.0,-20.754261116171165,-30.89336901573128,1
170,2018-02-19,911.0,956.22,906.04,938.11,-16.53716370485847,-26.107967245440346,1
171,2018-02-20,939.17,961.0,873.0,882.99,-17.44174933753527,-23.219227942805325,1
172,2018-02-21,882.99,908.88,812.87,835.89,-21.70896885786567,-22.715808247825443,1
173,2018-02-22,836.35,871.96,786.6,801.49,-27.54899590247942,-24.32687079937677,0
174,2018-02-23,801.47,885.0,785.99,851.6,-27.813188078145686,-25.488976558966414,0
175,2018-02-24,851.59,875.0,805.0,833.94,-29.11199177044091,-26.696648296124582,0
176,2018-02-25,833.92,849.5,813.18,841.19,-29.219464842519073,-27.53758714492275,0
177,2018-02-26,841.46,882.0,833.0,867.98,-26.833588020443358,-27.302920770096286,1
178,2018-02-27,867.98,897.49,860.69,870.11,-24.48860090319954,-26.36481414779737,1
179,2018-02-28,871.84,891.0,850.3,853.5,-23.697302154325143,-25.475643483306634,1
180,2018-03-01,853.5,879.96,848.65,870.63,-21.440788295186394,-24.13069175393322,1
181,2018-03-02,870.63,876.22,850.0,856.28,-20.57325420845143,-22.944879238772625,1
182,2018-03-03,856.27,870.78,852.3,856.02,-19.679849961483114,-21.85653614634279,1
183,2018-03-04,856.51,868.0,836.24,866.66,-17.9068426459213,-20.539971646202297,1
184,2018-03-05,866.61,871.75,847.2,849.84,-17.6554341491601,-19.578459147188234,1
185,2018-03-06,849.81,853.18,803.01,813.11,-20.187288641450778,-19.781402311942415,0
186,2018-03-07,813.31,826.2,718.4,749.9,-26.983273914425467,-22.182026179436768,0
187,2018-03-08,749.02,772.07,684.0,695.46,-36.34305412642061,-26.902368828431385,0
188,2018-03-09,695.48,727.92,640.0,723.71,-41.00848814862297,-31.60440860182858,0
189,2018-03-10,723.65,745.0,673.06,680.58,-47.636979326717324,-36.948598843458164,0
190,2018-03-11,680.58,735.0,659.15,720.85,-49.074948434036855,-40.990715373651064,0
191,2018-03-12,721.0,740.5,676.31,697.11,-51.53609290918405,-44.50584121882873,0
192,2018-03-13,696.52,713.76,680.0,689.94,-53.44899991496413,-47.48689411754053,0
